Index,Attribute
42,team
43,team
51,team
54,team
71,birthplace
87,team
94,team
98,team
112,team
115,birthyear
136,team
138,birthyear
150,team
151,team
170,team
175,team
186,team
188,birthyear
194,team
206,team
211,birthyear
220,birthplace
224,birthyear
232,birthyear
232,team
235,birthplace
245,team
246,team
249,team
251,birthplace
252,birthyear
252,team
253,birthyear
261,birthplace
265,birthplace
268,birthyear
276,team
288,birthyear
293,birthplace
303,birthyear
304,team
308,team
312,birthyear
316,birthplace
317,birthplace
322,birthplace
328,birthplace
351,team
355,birthplace
371,birthyear
378,birthyear
383,birthplace
398,team
404,birthplace
409,birthplace
420,birthplace
421,birthplace
433,birthyear
437,birthplace
440,team
443,team
444,team
461,team
462,team
463,birthyear
483,team
489,birthyear
504,birthplace
513,team
514,birthplace
516,birthyear
519,birthyear
524,birthplace
534,birthplace
535,birthyear
540,birthyear
541,team
548,birthplace
556,birthyear
556,team
573,birthplace
579,birthyear
593,birthplace
597,birthplace
604,birthplace
606,birthplace
607,birthyear
609,team
613,birthplace
621,birthyear
621,team
623,birthyear
628,birthplace
633,team
635,birthyear
640,birthyear
658,birthplace
662,birthyear
667,team
677,team
685,birthyear
687,birthplace
695,birthyear
700,team
701,birthyear
707,birthyear
709,team
711,birthplace
713,team
716,birthyear
720,team
746,birthplace
754,team
759,birthplace
771,team
773,birthplace
774,team
785,birthplace
792,birthplace
795,birthyear
804,birthplace
809,birthplace
821,team
832,team
835,birthyear
835,team
839,birthplace
842,birthyear
856,team
858,birthplace
859,birthyear
868,birthyear
868,team
875,birthplace
876,birthplace
886,team
889,team
896,team
897,team
903,birthyear
912,birthyear
916,birthplace
925,birthyear
929,birthyear
932,birthplace
933,team
937,birthyear
942,team
956,birthyear
964,birthplace
979,birthplace
984,birthyear
986,team
993,birthyear
997,team
1008,birthyear
1010,team
1014,birthyear
1020,team
1026,birthyear
1027,team
1029,birthyear
1030,birthyear
1038,birthyear
1048,birthplace
1049,birthplace
1058,birthplace
1063,team
1071,birthyear
1071,team
1083,team
1085,birthplace
1086,birthplace
1089,birthyear
1094,birthplace
1097,birthyear
1101,birthyear
1104,birthyear
1126,team
1128,birthyear
1131,team
1135,birthyear
1144,team
1149,birthplace
1150,birthplace
1165,team
1168,birthplace
1182,birthyear
1183,birthyear
1183,team
1184,team
1187,birthyear
1189,birthplace
1196,birthplace
1213,birthyear
1219,birthplace
1225,birthyear
1226,team
1232,birthplace
1238,birthplace
1245,birthyear
1255,birthyear
1256,birthyear
1257,team
1259,team
1260,birthplace
1262,birthplace
1264,birthplace
1278,team
1281,birthplace
1284,birthyear
1284,team
1289,birthyear
1292,birthplace
1295,team
1304,team
1305,birthplace
1306,team
1308,birthyear
1309,team
1311,birthyear
1316,team
1318,birthyear
1318,team
1322,birthyear
1325,team
1342,birthplace
1349,birthyear
1357,birthplace
1360,team
1361,birthplace
1372,birthyear
1377,birthyear
1380,team
1389,team
1390,birthplace
1392,team
1394,birthyear
1396,birthyear
1398,birthplace
1399,team
1406,birthyear
1417,birthyear
1418,team
1423,birthplace
1425,birthplace
1432,team
1433,team
1436,team
1437,team
1438,birthyear
1450,birthyear
1451,team
1452,team
1455,birthyear
1455,team
1457,birthyear
1462,team
1465,team
1469,birthplace
1474,birthyear
1474,team
1487,team
1488,birthplace
1500,birthplace
1511,team
1517,birthplace
1519,team
1525,team
1533,birthplace
1539,birthplace
1540,birthplace
1544,birthplace
1546,birthyear
1550,birthplace
1554,team
1567,team
1577,birthplace
1582,birthplace
1583,birthplace
1588,birthyear
1589,birthplace
1592,birthyear
1597,birthplace
1603,birthyear
1605,birthyear
1606,birthyear
1615,team
1622,birthplace
1626,birthplace
1636,birthplace
1639,birthplace
1644,birthplace
1646,birthplace
1649,birthyear
1681,birthplace
1685,team
1700,birthplace
1703,birthplace
1707,birthplace
1709,birthplace
1712,birthplace
1716,team
1717,birthyear
1719,birthyear
1720,birthyear
1723,birthplace
1727,birthplace
1730,team
1738,birthplace
1740,birthplace
1741,team
1743,birthyear
1743,team
1745,birthplace
1753,birthplace
1761,team
1763,birthplace
1765,team
1771,birthyear
1774,birthplace
1775,team
1786,birthyear
1791,birthplace
